謝謝,2
蔡,4
總統,5
韓,1
市長,1
聽到,1
最後,1
談話,1
很,5
誠懇,1
跟,4
說,4
給,2
人民,3
畫,1
大,4
夢,1
想,1
做,7
事,4
坦白,3
講,4
背後,1
那些,1
派系,1
所作所為,2
只,1
國民黨,2
提出,1
不同,3
見解,2
對於,1
特別,2
豪取,1
巧奪,1
方式,1
霸佔,1
國家,2
名器,1
****,1
維持,1
在,7
當中,1
慘敗,1
撿到,1
大陸,5
香港,1
槍,1
用,2
反,1
滲透法,1
讓,6
產生,1
一些,1
畏懼感,1
目前,1
兩岸,4
關係,2
台灣,10
未來,4
發展,3
憂慮,1
沒有,3
錯,1
作為,1
政治,2
人物,1
腰桿,1
站,2
直,1
宋楚瑜,1
上,2
要,1
過,1
錢,1
子女,1
任何,4
經商,1
這些,1
提到,1
兒子,2
去,3
回家,1
掃墓,1
看,2
奧運,1
來,2
媳婦,1
這樣,1
今天,4
對,2
問題,2
上面,3
這麼樣,1
強烈,1
根,1
據,1
發言,1
為了,1
家族,1
黨,1
利益,2
在座,1
張昭雄,1
先生,1
奮鬥,1
話,2
感動,1
穿,1
白,1
顏色,1
醫生,1
服裝,1
到,1
一點點,1
汙點,1
原因,1
盡心,1
盡力,1
為,1
打出,1
道路,1
責任,1
發揮,1
優勢,4
地理,1
位置,1
人文,1
素質,1
更,2
重要,1
民主,3
制度,1
把握,1
核心,4
價值,1
戰略,1
管理,1
堅定,1
立場,1
穩定,1
和平,1
確保,1
自由,2
體制,1
放,1
政黨,1
前面,1
誠實,1
面對,2
歷史,1
務實,1
堅持,1
中,2
彈性,2
原則,1
之間,1
知己知彼,1
異位,1
思考,2
電影,1
冰雪,1
奇緣,1
經典,1
當,3
人,3
清,1
時候,2
唯一,1
走好,1
路,1
做好,1


when one can see no future,1
 all One can do is the next right thing,1
英文,1
頭家,4
鄉親,1
們,1
選,1
把,1
選舉,1
後面,1
變成,2
政府,1
冤家,1
好好,1
很多,2
成就,1
排斥,1
外來,1
文明,2
珍惜,1
中華,1
加法,1
跟乘,1
法,1
除法,1
減法,1
從政,1
以來,1
朋友,1
相知,1
惜,1
好朋友,1
共識,1
過去,1
共同,1
那,1
希望,1
永保,1
驕傲,1
台灣人,1
對岸,1
好,1
起來,1
世界,1
亮起來,1
真正,1
經驗,1
發光,1
