謝謝,1
韓,1
市長,1
剛才,3
談話,1
江湖,1
上,3
武俠,1
小說,1
內容,1
告訴,1
總統,1
～,6
閣揆,1
任命,1
黨團,1
獨立,2
自主,2
運作,1
空間,2
民進黨,2
操,1
操作,1
所有,2
按照,1
憲政,1
體制,1
民主,4
政黨,4
政治,4
在,4
走,1
跟,2
說,2
裡面,1
最,1
內部,1
競爭,2
給,1
公平,1
機會,1
最後,1
團結,1
那些,1
道聽塗說,1
對於,2
宮廷,1
熱愛,1
想像出來,1
這些,1
派系,1
問題,7
相信,1
對,2
很多,1
人,1
講,1
充分,1
顯示出來,1
不了解,1
回,1
宋,1
主席,1
國情,1
報告,1
沒有,2
立法院,1
邀請,1
閣員,1
超過,1
一定,1
比例,1
那,4
選賢,1
惟,1
才,1
好,1
勝任,1
來,2
餘裕,1
用,1
一些,1
不同,1
黨籍,1
做,2
事情,1
至於,1
講到,1
國際,2
組織,2
每,1
多加,1
觀光客,2
達到,1
人次,1
覺得,2
盡力,1
努力,1
設定,1
目標,1
達成,1
時候,2
注意到,1
主權,3
堅持,1
國家,1
生活,1
方式,1
受到,1
影響,1
中國,1
拿,1
經貿,1
和,1
讓,1
退讓,1
